height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
211,120,*,1990,*,*,*,*,2014,23,82.0,82.0,2690.0,18.1,9.9,21.6,15.4,256.0,504.0,760.0,1249.0,3,1
211,120,*,1990,*,*,*,*,2015,24,69.0,57.0,2137.0,21.2,11.2,25.1,17.9,229.0,475.0,704.0,1098.0,4,1
211,120,*,1990,*,*,*,*,2016,25,79.0,67.0,2314.0,21.8,10.9,23.4,17.2,218.0,478.0,696.0,1210.0,5,2
211,120,*,1990,*,*,*,*,2017,26,81.0,0.0,1823.0,21.1,10.8,23.1,17.0,167.0,365.0,532.0,951.0,6,1
213,113,*,1988,*,*,*,*,2010,22,21.0,21.0,502.0,23.1,15.6,28.3,21.9,64.0,114.0,178.0,233.0,1,1
213,113,*,1988,*,*,*,*,2014,26,23.0,6.0,212.0,12.4,14.2,17.7,16.0,23.0,31.0,54.0,67.0,5,2
211,117,*,1985,*,*,*,*,2012,26,55.0,3.0,766.0,13.6,7.7,19.0,13.6,48.0,129.0,177.0,161.0,0,2
211,117,*,1985,*,*,*,*,2013,27,76.0,19.0,1209.0,10.5,5.6,19.5,12.3,61.0,200.0,261.0,307.0,1,1
211,117,*,1985,*,*,*,*,2014,28,55.0,20.0,1007.0,9.7,8.2,18.0,13.0,72.0,154.0,226.0,159.0,2,2
211,117,*,1985,*,*,*,*,2015,29,17.0,0.0,66.0,7.8,15.7,10.5,13.1,9.0,6.0,15.0,14.0,3,1
198,98,*,1987,*,*,*,*,2011,24,70.0,1.0,860.0,9.4,1.7,8.6,5.1,12.0,61.0,73.0,249.0,0,1
198,98,*,1987,*,*,*,*,2012,25,66.0,26.0,1706.0,14.2,1.6,10.3,6.0,23.0,150.0,173.0,589.0,1,1
198,98,*,1987,*,*,*,*,2013,26,78.0,78.0,2685.0,16.3,1.9,13.3,7.5,43.0,294.0,337.0,1083.0,2,1
198,98,*,1987,*,*,*,*,2014,27,79.0,23.0,1779.0,14.1,1.3,10.0,5.6,20.0,153.0,173.0,758.0,3,1
198,98,*,1987,*,*,*,*,2015,28,82.0,29.0,1991.0,12.6,1.3,11.2,6.3,22.0,194.0,216.0,775.0,4,1
198,98,*,1987,*,*,*,*,2016,29,23.0,0.0,460.0,7.4,1.3,10.3,5.8,5.0,42.0,47.0,130.0,5,2
198,98,*,1987,*,*,*,*,2017,30,3.0,0.0,39.0,4.1,0.0,5.4,2.7,0.0,2.0,2.0,7.0,6,1
208,113,*,1985,*,*,*,*,2012,26,54.0,24.0,1088.0,16.7,9.6,19.3,14.5,86.0,179.0,265.0,319.0,0,1
