height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(17, 23]",57.0,32.0,1123.0,13.4,6.0,8.2,8.3,61.0,120.0,184.0,331.0,"(-1, 5]",1
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",63.0,31.0,1826.0,12.4,5.9,13.5,6.4,101.0,227.0,322.0,666.0,"(-1, 5]",2
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",83.0,78.0,2544.0,11.1,0.0,10.0,9.2,76.0,245.0,317.0,836.0,"(-1, 5]",1
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",63.0,25.0,1019.0,10.5,5.3,10.7,5.9,28.0,112.0,146.0,259.0,"(-1, 5]",1
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2009, 2015]","(23, 29]",12.0,1.0,151.0,10.4,6.3,13.4,8.1,9.0,16.0,28.0,49.0,"(-1, 5]",2
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",67.0,37.0,1631.0,5.3,2.2,13.8,6.7,60.0,186.0,247.0,326.0,"(5, 11]",3
"(191, 203]","(95, 107]",*,"(1985, 1991]",*,*,*,*,"(2015, 2021]","(23, 29]",21.0,2.0,89.0,3.4,0.0,14.0,8.9,4.0,9.0,16.0,11.0,"(5, 11]",1
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",84.0,82.0,2838.0,25.4,7.5,19.0,11.5,230.0,500.0,730.0,1904.0,"(5, 11]",1
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",74.0,79.0,2872.0,21.1,9.6,13.1,13.5,199.0,437.0,636.0,1975.0,"(5, 11]",1
"(203, 215]","(107, 119]",*,"(1979, 1985]",*,*,*,*,"(2009, 2015]","(23, 29]",50.0,49.0,1541.0,20.1,7.5,22.2,13.1,109.0,258.0,365.0,813.0,"(5, 11]",2
