height,weight,college,born,birth_city,birth_state,year_start,year_end,Year,Age,G,GS,MP,PER,ORB%,DRB%,TRB%,ORB,DRB,TRB,PTS,NBA_Years,SevereInjury
190,88,*,1985,*,*,*,*,2010,25,20.0,3.0,231.0,12.8,0.6,6.4,4.2,1.0,20.0,17.0,114.0,2,1
190,88,*,1985,*,*,*,*,2011,26,37.0,0.0,628.0,9.9,2.4,8.4,4.8,8.0,45.0,53.0,203.0,3,3
203,92,*,1984,*,*,*,*,2010,25,30.0,0.0,239.0,7.2,6.0,8.7,8.2,17.0,23.0,35.0,75.0,3,1
201,90,*,1993,*,*,*,*,2014,20,6.0,0.0,38.0,1.7,0.0,5.4,4.9,0.0,0.0,2.0,16.0,0,1
208,107,*,1991,*,*,*,*,2015,23,34.0,23.0,738.0,9.6,6.0,18.9,10.5,46.0,120.0,156.0,216.0,0,1
208,107,*,1991,*,*,*,*,2016,24,54.0,5.0,487.0,5.8,7.0,19.5,16.2,17.0,91.0,111.0,132.0,1,1
208,107,*,1991,*,*,*,*,2017,25,20.0,0.0,137.0,9.7,9.6,21.6,8.5,7.0,20.0,36.0,63.0,2,2
206,104,*,1980,*,*,*,*,2010,29,70.0,10.0,2193.0,12.6,8.8,15.9,4.4,92.0,319.0,404.0,1278.0,11,1
206,104,*,1980,*,*,*,*,2011,30,73.0,3.0,1661.0,12.7,6.3,18.7,13.1,78.0,257.0,332.0,765.0,12,2
206,104,*,1980,*,*,*,*,2012,31,70.0,4.0,1757.0,23.1,6.0,20.8,12.6,72.0,317.0,391.0,910.0,13,2
206,104,*,1980,*,*,*,*,2013,32,9.0,0.0,118.0,10.9,4.9,19.9,14.2,14.0,20.0,27.0,54.0,14,2
206,104,*,1980,*,*,*,*,2014,33,33.0,1.0,509.0,12.5,6.5,13.2,12.3,11.0,64.0,78.0,225.0,15,3
208,111,*,1986,*,*,*,*,2010,23,84.0,84.0,2844.0,21.5,8.6,25.4,17.2,236.0,563.0,799.0,1152.0,2,1
208,111,*,1986,*,*,*,*,2011,24,78.0,76.0,2715.0,16.8,8.9,19.9,15.0,184.0,536.0,720.0,1178.0,3,1
208,111,*,1986,*,*,*,*,2012,25,6.0,12.0,348.0,19.1,6.7,12.8,12.1,25.0,50.0,77.0,135.0,4,3
